daily_non_vehicle_traffic,avg_temp_f_daily,total_rain_mm_daily,total_snow_mm_daily,avg_cloud_percent_daily,total_vehicle_volume_daily,date,month,day_of_week,holiday
355,33.7879956054688,2.88999998569489,1.20999997481704,88.7500000000000000,39685,2015-12-23,12,3,none
316,24.7369981166295,0,0,86.4285714285714286,36409,2015-12-24,12,4,none
144,27.6411604389392,0,0,88.4210526315789474,29899,2015-12-25,12,5,Christmas Day
321,28.839578022204,0,0.319999992847443,88.4210526315789474,36143,2015-12-26,12,6,none
248,18.3067366108142,0,0,37.1052631578947368,42881,2015-12-27,12,0,none
312,16.048002319336,0,1.25999998673797,34.7777777777777778,50804,2015-12-28,12,1,none
364,23.1196430520451,0,0.680000003427267,89.1176470588235294,42097,2015-12-29,12,2,none
341,21.6128758239747,0,0,74.8125000000000000,54446,2015-12-30,12,3,none
327,14.6511745318245,0,0,68.0588235294117647,52349,2015-12-31,12,4,none
539,21.0939953613282,0,0,36.9444444444444444,32976,2016-01-01,1,5,New Years Day
490,20.9349987792969,0,0,10.2777777777777778,41018,2016-01-02,1,6,none
414,26.4310699932392,0,0,68.3076923076923077,28628,2016-01-03,1,0,none
611,15.269002609253,0,0,28.1250000000000000,56656,2016-01-04,1,1,none
667,24.780930965648,0,0,48.8823529411764706,61120,2016-01-05,1,2,none
622,28.724004911535,0.25,0.25,58.5882352941176471,55245,2016-01-06,1,3,none
639,31.8953682708741,0,0.349999994039536,85.0000000000000000,50385,2016-01-07,1,4,none
650,31.0843994140625,0,0.689999993890524,89.0000000000000000,48482,2016-01-08,1,5,none
465,7.46599078838646,0,0,71.3076923076923077,31508,2016-01-09,1,6,none
293,-6.85600219726558,0,0,6.2000000000000000,34739,2016-01-10,1,0,none
522,-4.35743155343188,0,0,46.4285714285714286,41329,2016-01-11,1,1,none
664,-1.97200439453121,0,0,2.5333333333333333,47145,2016-01-12,1,2,none
572,7.53384615384619,0,0,42.7692307692307692,44517,2016-01-13,1,3,none
609,21.5288997025924,0,0,78.1818181818181818,42396,2016-01-14,1,4,none
632,19.5329235839844,0,0,72.4615384615384615,47371,2016-01-15,1,5,none
363,0.342498283386272,0,0,40.0625000000000000,42463,2016-01-16,1,6,none
294,-9.44871273265161,0,0,9.0000000000000000,34103,2016-01-17,1,0,none
383,-7.19243194580074,0,0,50.7857142857142857,43219,2016-01-18,1,1,none
493,-0.620155874398998,0,0,38.2307692307692308,45533,2016-01-19,1,2,none
610,15.5929948207311,0,0,88.9285714285714286,46861,2016-01-20,1,3,none
570,21.5766130183294,0,0,90.0000000000000000,43799,2016-01-21,1,4,none
596,18.8918417593149,0,0,82.3076923076923077,47654,2016-01-22,1,5,none
470,19.5992810058594,0,0,87.8571428571428571,40327,2016-01-23,1,6,none
408,27.29,0,0,90.0000000000000000,31518,2016-01-24,1,0,none
625,28.4617125592913,0,0,90.0000000000000000,46988,2016-01-25,1,1,none
648,24.9324331229074,0,0,82.5714285714285714,45226,2016-01-26,1,2,none
634,25.4536240386963,0,0,56.2500000000000000,53758,2016-01-27,1,3,none
688,29.8707126034008,0,0,61.1176470588235294,62903,2016-01-28,1,4,none
675,25.418854108538,0,0,61.9047619047619048,76776,2016-01-29,1,5,none
577,34.0421826171875,0,0,26.0909090909090909,27750,2016-01-30,1,6,none
529,33.706396484375,0,0,11.6666666666666667,35450,2016-01-31,1,0,none
717,27.9464001464844,0,0,68.2000000000000000,52548,2016-02-01,2,1,none
588,28.0314642012747,0,0,83.1578947368421053,53104,2016-02-02,2,2,none
768,18.1900006103516,0,0,43.4444444444444444,50240,2016-02-03,2,3,none
830,14.3674106014477,0,0,63.4705882352941176,53492,2016-02-04,2,4,none
681,16.4307857612942,0,0,58.4782608695652174,88866,2016-02-05,2,5,none
529,30.3402455139161,0,0,70.5000000000000000,69542,2016-02-06,2,6,none
438,32.5917515563965,0,0,68.5000000000000000,54711,2016-02-07,2,0,none
599,14.1762440490723,0,0,90.0000000000000000,81815,2016-02-08,2,1,none
674,10.6012710293857,0,0,15.2727272727272727,83461,2016-02-09,2,2,none
650,6.8359967041016,0,0,55.8888888888888889,60681,2016-02-10,2,3,none
621,8.47400024414067,0,0,54.5555555555555556,61890,2016-02-11,2,4,none
587,7.89100311279301,0,0,16.2777777777777778,69821,2016-02-12,2,5,none
485,1.20109527587895,0,0,18.4500000000000000,54431,2016-02-13,2,6,none
416,14.1004156172903,0,0,88.4210526315789474,42245,2016-02-14,2,0,none
583,24.1074716025905,0,0,83.7368421052631579,57950,2016-02-15,2,1,Washingtons Birthday
705,28.9632936006434,0,0,58.1764705882352941,56303,2016-02-16,2,2,none
715,21.2689953613282,0,0,44.8888888888888889,54927,2016-02-17,2,3,none
725,33.2509904261998,0,0,27.0714285714285714,48940,2016-02-18,2,4,none
698,39.6214978027344,0,0,38.7500000000000000,46085,2016-02-19,2,5,none
694,37.6777155412947,0,0,37.8571428571428571,43201,2016-02-20,2,6,none
542,30.2683935546875,0,0,53.4000000000000000,38463,2016-02-21,2,0,none
672,30.8099987792969,0,0,74.8333333333333333,57867,2016-02-22,2,1,none
671,34.5509991455079,0,0,87.5000000000000000,60481,2016-02-23,2,2,none
722,33.9992041015625,0,0,78.7333333333333333,46501,2016-02-24,2,3,none
711,29.1267449188233,0,0,67.3750000000000000,62288,2016-02-25,2,4,none
855,32.4151989746094,0,0,40.3333333333333333,56925,2016-02-26,2,5,none
1472,43.3001376778739,0,0,3.7857142857142857,41566,2016-02-27,2,6,none
458,34.7494915771485,0,0,45.5000000000000000,30925,2016-02-28,2,0,none
688,25.3026177509015,0,0,39.2307692307692308,47722,2016-02-29,2,1,none
719,18.582288382394,0,0,45.0000000000000000,54202,2016-03-01,3,2,none
644,22.7812258676383,0,0,55.3076923076923077,45276,2016-03-02,3,3,none
679,29.4947216796875,0,0,90.0000000000000000,43727,2016-03-03,3,4,none
675,31.9100018310547,0.300000011920929,0,80.0833333333333333,47646,2016-03-04,3,5,none
612,33.1774990844727,0,0,56.5000000000000000,38029,2016-03-05,3,6,none
1287,41.4703979492188,0,0,8.8000000000000000,33134,2016-03-06,3,0,none
1165,51.5881557053786,0,0,40.3846153846153846,48175,2016-03-07,3,1,none
1213,56.6134930419922,0,0,59.8333333333333333,44002,2016-03-08,3,2,none
770,38.1935040283204,0,0,90.0000000000000000,44419,2016-03-09,3,3,none
1022,36.6877139718192,0,0,45.7857142857142857,52554,2016-03-10,3,4,none
1408,44.3792004394532,0,0,1.2666666666666667,57657,2016-03-11,3,5,none
1897,55.951248626709,0,0,8.3125000000000000,52240,2016-03-12,3,6,none
785,50.5726170349122,0,0,62.7500000000000000,40741,2016-03-13,3,0,none
971,51.6675645228795,0,0,88.9285714285714286,47717,2016-03-14,3,1,none
681,51.5141085994945,0,0,75.7058823529411765,58733,2016-03-15,3,2,none
764,42.7859967041016,0,0,82.5555555555555556,62954,2016-03-16,3,3,none
763,37.0759922096946,0,0,74.9090909090909091,81520,2016-03-17,3,4,none
733,32.6413621761925,0,0,87.1578947368421053,67966,2016-03-18,3,5,none
647,31.482001953125,0,0,84.2222222222222222,52547,2016-03-19,3,6,none
748,34.1124323381697,0,0,27.0714285714285714,38096,2016-03-20,3,0,none
929,37.3359997558594,0,0,15.0000000000000000,59292,2016-03-21,3,1,none
1117,43.3208714294434,0,0,16.3125000000000000,58854,2016-03-22,3,2,none
583,33.3362367158778,0,0,77.7647058823529412,56831,2016-03-23,3,3,none
838,34.3366265106202,0,0,6.6250000000000000,55785,2016-03-24,3,4,none
909,35.7651749195772,0,0,26.2941176470588235,59923,2016-03-25,3,5,none
736,42.7529168231671,0,0,88.8461538461538462,35258,2016-03-26,3,6,none
531,38.3382420349122,0,0,73.3125000000000000,32680,2016-03-27,3,0,none
1325,39.9739929962159,0,0,27.1875000000000000,54804,2016-03-28,3,1,none
1381,49.7066992905561,0,0,22.7058823529411765,66633,2016-03-29,3,2,none
695,45.1914222935268,0,0,90.0000000000000000,53182,2016-03-30,3,3,none
837,43.8428002929688,0,0,80.0666666666666667,60228,2016-03-31,3,4,none
855,36.2801447405134,0,0,30.4285714285714286,56369,2016-04-01,4,5,none
539,31.85,0,0,68.0666666666666667,49096,2016-04-02,4,6,none
1366,41.9012799072266,0,0,40.6428571428571429,37607,2016-04-03,4,0,none
870,32.4987069163603,0,0,61.1764705882352941,59255,2016-04-04,4,1,none
709,33.4554289899554,0,0,62.6190476190476190,79465,2016-04-05,4,2,none
790,36.9892701305043,0,0,66.3181818181818182,82024,2016-04-06,4,3,none
742,36.4045947265625,0.300000011920929,0,90.0000000000000000,75483,2016-04-07,4,4,none
709,31.5549053955079,0.899999976158142,0,60.9090909090909091,83438,2016-04-08,4,5,none
718,29.3659985351563,0,0,6.3809523809523810,62106,2016-04-09,4,6,none
1104,44.0949963378907,0,0,28.0555555555555556,45928,2016-04-10,4,0,none
887,34.7042381376379,0,0,38.2352941176470588,57311,2016-04-11,4,1,none
1020,35.5534102136949,0,0,35.4705882352941176,65649,2016-04-12,4,2,none
1722,52.0643171772204,0,0,25.4736842105263158,67788,2016-04-13,4,3,none
1782,62.1802713290128,0,0,8.9545454545454545,88261,2016-04-14,4,4,none
1706,63.1614270019532,0,0,8.2380952380952381,79152,2016-04-15,4,5,none
1914,67.8690894109553,0,0,42.1818181818181818,66198,2016-04-16,4,6,none
1966,68.0089950561524,0,0,29.9500000000000000,48009,2016-04-17,4,0,none
1553,65.4510438603941,0,0,49.1304347826086957,86318,2016-04-18,4,1,none
1059,51.977647492782,0.600000023841858,0,85.0000000000000000,86054,2016-04-19,4,2,none
1321,56.230342858356,0,0,78.2608695652173913,89386,2016-04-20,4,3,none
1078,54.7100041198731,2.40000009536743,0,65.4166666666666667,97051,2016-04-21,4,4,none
1450,47.2073402622768,0,0,7.3333333333333333,82751,2016-04-22,4,5,none
1878,54.3234256417411,0,0,6.9047619047619048,62076,2016-04-23,4,6,none
540,55.3412981381624,19.7899998426437,0,69.9130434782608696,59557,2016-04-24,4,0,none
879,50.5579971036044,11.3999998569489,0,85.4545454545454545,75894,2016-04-25,4,1,none
1051,43.3335714285715,0,0,85.3571428571428571,46632,2016-04-26,4,2,none
946,44.309231614333,3.50000005960464,0,35.9230769230769231,52746,2016-04-27,4,3,none
684,40.016003112793,14.3499998748302,0,90.0833333333333333,89547,2016-04-28,4,4,none
1437,46.7052487182618,0.509999990463257,0,35.6666666666666667,85391,2016-04-29,4,5,none
1313,49.1689968872071,0,0,78.3333333333333333,75002,2016-04-30,4,6,none
1696,50.8677510070801,0,0,70.8750000000000000,63839,2016-05-01,5,0,none
2058,52.8702519226075,0,0,9.1250000000000000,82915,2016-05-02,5,1,none
1785,58.6842533874512,0,0,36.6666666666666667,88410,2016-05-03,5,2,none
1818,55.3587513732911,0,0,9.8750000000000000,91614,2016-05-04,5,3,none
1981,59.2549977111817,0,0,27.7916666666666667,95033,2016-05-05,5,4,none
2038,74.5032406616211,0,0,27.6666666666666667,91944,2016-05-06,5,5,none
1676,60.6462513732911,0,0,59.4583333333333333,72912,2016-05-07,5,6,none
1587,58.7345043945313,0,0,28.8750000000000000,65838,2016-05-08,5,0,none
1106,57.0282498168946,11.129999935627,0,62.3333333333333333,85210,2016-05-09,5,1,none
935,51.883995513916,10.4899999797344,0,90.0000000000000000,87038,2016-05-10,5,2,none
956,52.0459980773926,4.17999994754791,0,87.2916666666666667,87689,2016-05-11,5,3,none
1416,52.7164959716797,0.759999990463257,0,64.0833333333333333,91161,2016-05-12,5,4,none
797,43.5777478027344,5.37000012397766,0,73.6250000000000000,90637,2016-05-13,5,5,none
882,41.3465000915528,0,0,45.8333333333333333,67453,2016-05-14,5,6,none
1395,49.3534985351563,0,0,29.3333333333333333,64367,2016-05-15,5,0,none
1717,56.2757378885021,0,0,39.3478260869565217,78950,2016-05-16,5,1,none
1722,53.8790051269532,0,0,27.4166666666666667,87076,2016-05-17,5,2,none
1937,54.9005024719239,0,0,13.0416666666666667,86809,2016-05-18,5,3,none
1813,60.1130047607422,0,0,34.6666666666666667,89380,2016-05-19,5,4,none
1998,62.8430065917969,0,0,48.0833333333333333,92243,2016-05-20,5,5,none
2014,64.1157475280762,0.300000011920929,0,15.2083333333333333,73943,2016-05-21,5,6,none
